Player,Team,Position,Bye,Projected,Actual,Passing Yds,Passing TD,Int,Rushing Yds,Rushing TD,Receiving Yds,Receiving TD,Ret TD,Misc 2pt,Fum Lost,Fan Pts
Carolina,Car,DEF,6,265,170,-,-,-,-,-,-,-,-,-,-,171
Brandon Stokley,Den,WR,9,266,236,0,0,0,0,0,327,4,0,0,0,53
Justin Gage,Ten,WR,9,267,241,0,0,0,0,0,383,3,0,0,0,51
Kellen Davis,Chi,TE,8,268,1377,0,0,0,0,0,75,3,0,0,0,24
Laveranues Coles,NYJ,WR,7,269,167,0,0,0,10,0,514,5,0,0,0,75
Buffalo,Buf,DEF,6,270,184,-,-,-,-,-,-,-,-,-,-,158
Justin Fargas,Den,RB,9,271,182,0,0,0,491,3,113,0,0,0,0,69
Atlanta,Atl,DEF,8,272,213,-,-,-,-,-,-,-,-,-,-,137
Phil Dawson,Cle,K,8,273,1390,-,-,-,-,-,-,-,-,-,-,84
Sammy Morris,NE,RB,5,274,244,0,0,0,319,2,180,0,0,0,1,51
Tampa Bay,TB,DEF,4,275,259,-,-,-,-,-,-,-,-,-,-,130
Kevin Faulk,NE,RB,5,276,177,0,0,0,335,2,301,1,0,0,0,75
Mark Clayton,Bal,WR,8,277,220,0,0,0,28,0,480,2,0,0,1,53
Kris Brown,Hou,K,7,278,171,-,-,-,-,-,-,-,-,-,-,122
James Jones,GB,WR,10,279,183,0,0,0,0,0,440,5,0,0,0,68
Bo Scaife,Ten,TE,9,281,202,0,0,0,0,0,440,1,0,0,1,42
Mark Bradley,NO,WR,10,285,1347,26,0,0,20,0,320,2,0,0,0,49
Connor Barth,TB,K,4,286,1422,-,-,-,-,-,-,-,-,-,-,77
Nick Folk,NYJ,K,7,287,209,-,-,-,-,-,-,-,-,-,-,109
Matt Bryant,Atl,K,8,288,1609,-,-,-,-,-,-,-,-,-,-,38
Shaun Hill,Det,QB,7,289,1486,943,5,2,70,0,0,0,0,0,1,59
Michael Jenkins,Atl,WR,8,290,196,0,0,0,0,0,635,1,0,0,0,64
Brian Hartline,Mia,WR,5,293,178,0,0,0,29,1,506,3,0,0,0,73
Joe Nedney,SF,K,9,295,223,-,-,-,-,-,-,-,-,-,-,105
Jason Hanson,Det,K,7,296,208,-,-,-,-,-,-,-,-,-,-,113
Houston,Hou,DEF,7,297,239,-,-,-,-,-,-,-,-,-,-,138
Jason Avant,Phi,WR,8,298,175,0,0,0,0,0,587,3,0,1,0,72
Shayne Graham,Bal,K,8,1636,189,-,-,-,-,-,-,-,-,-,-,117
Neil Rackers,Hou,K,7,1637,226,-,-,-,-,-,-,-,-,-,-,103
Adam Vinatieri,Ind,K,7,1650,1559,-,-,-,-,-,-,-,-,-,-,43
Deion Branch,Sea,WR,5,1651,248,0,0,0,-8,0,437,2,0,0,0,48
Ryan Moats,Min,RB,4,1652,191,0,0,0,390,4,106,1,0,0,2,69
Olindo Mare,Sea,K,5,1661,185,-,-,-,-,-,-,-,-,-,-,120
Dante Rosario,Car,TE,6,1662,216,0,0,0,0,0,313,2,0,0,0,41
Shaun Suisham,StL,K,9,1665,228,-,-,-,-,-,-,-,-,-,-,102
Sean Ryan,Ten,TE,9,1666,1378,0,0,0,0,0,135,2,0,0,0,23
Jerious Norwood,Atl,RB,8,1673,1382,0,0,0,252,0,186,1,0,0,1,41
Seattle,Sea,DEF,5,1674,1401,-,-,-,-,-,-,-,-,-,-,100
Cleveland,Cle,DEF,8,1676,1408,-,-,-,-,-,-,-,-,-,-,146
Josh Brown,StL,K,9,1677,215,-,-,-,-,-,-,-,-,-,-,109
Quinton Ganther,Sea,RB,5,1678,1383,0,0,0,199,3,99,0,0,0,0,43
Brandon Gibson,StL,WR,9,1679,1404,0,0,0,0,0,348,1,0,0,1,35
Robert Royal,Cle,TE,8,1680,1406,0,0,0,0,0,134,1,0,0,0,17
Bobby Wade,Was,WR,9,1681,265,0,0,0,11,0,367,2,0,0,0,46
David Thomas,NO,TE,10,1682,221,0,0,0,0,0,356,1,0,0,0,35
Bryant Johnson,Det,WR,7,1683,224,0,0,0,0,0,417,3,0,0,0,52
Greg Camarillo,Mia,WR,5,1684,246,0,0,0,0,0,552,0,0,0,0,51
Ben Patrick,Ari,TE,6,1685,1370,0,0,0,0,0,146,2,0,0,0,23
Isaac Bruce(NA),StL,WR,9,1686,1456,0,0,0,-8,0,264,0,0,0,0,24
Daniel Fells,StL,TE,9,1687,217,0,0,0,0,0,273,3,0,0,1,38
Billy Cundiff,Bal,K,8,1688,1199,-,-,-,-,-,-,-,-,-,-,88
Justin Peelle,Atl,TE,8,1689,1385,0,0,0,0,0,115,2,0,0,0,21
Evan Moore,Cle,TE,8,1690,1418,0,0,0,0,0,158,0,0,0,0,13
Desmond Clark,Chi,TE,8,1691,1371,0,0,0,0,0,145,2,0,0,0,21
Kansas City,KC,DEF,4,1692,1407,-,-,-,-,-,-,-,-,-,-,94
Daniel Graham,Den,TE,9,1693,252,0,0,0,0,0,289,1,0,0,0,29
Brad Cottam(NA),KC,TE,4,1694,1428,0,0,0,0,0,120,0,0,0,0,11
Steve Hauschka(NA),Atl,K,8,1695,1465,-,-,-,-,-,-,-,-,-,-,65
Donald Lee,GB,TE,10,1696,260,0,0,0,0,0,260,1,0,0,0,25
Chris Baker,Sea,TE,5,1697,1373,0,0,0,0,0,142,2,0,0,0,23
Randy McMichael,SD,TE,10,1698,231,0,0,0,0,0,332,1,0,0,0,32
Mike Thomas,Jac,WR,9,1699,232,0,0,0,86,0,453,1,0,0,1,81
Joey Haynos,Mia,TE,5,1700,1345,0,0,0,0,0,162,2,0,0,0,24
Zach Miller,Jac,TE,9,1701,258,0,0,0,3,0,212,2,0,0,0,30
Ryan Fitzpatrick,Buf,QB,6,1702,230,1422,9,10,141,1,0,0,0,0,2,90
Spencer Havner,GB,TE,10,1703,249,0,0,0,0,0,112,4,0,0,0,34
Alex Smith,Cle,TE,8,1704,1480,0,0,0,0,0,25,0,0,0,0,2
David Martin,Mia,TE,5,1705,-,-,-,-,-,-,-,-,-,-,-,-
Washington,Was,DEF,9,1706,1431,-,-,-,-,-,-,-,-,-,-,128
Plaxico Burress(NA),NYG,WR,8,1707,-,-,-,-,-,-,-,-,-,-,-,-
Joel Dreessen,Hou,TE,7,1708,234,0,0,0,0,0,320,1,0,0,0,34
Heath Evans,NO,RB,10,1709,1476,0,0,0,16,1,70,2,0,0,0,24
Josh Reed,SD,WR,10,1710,1421,0,0,0,0,0,291,1,0,0,1,30
Jeff King,Car,TE,6,1711,233,0,0,0,0,0,200,3,0,0,0,32
